eventID ,case concept:name,case REG_DATE,case AMOUNT_REQ,event concept:name,event lifecycle:transition,event time:timestamp
1580547964963,174845,2011-10-05T17:13:23.580+02:00,8000,W_Nabellen incomplete dossiers,START,20-10-2011 16:49:24.449
1580547964964,174845,2011-10-05T17:13:23.580+02:00,8000,W_Nabellen incomplete dossiers,COMPLETE,20-10-2011 16:55:29.363
1580547964965,174845,2011-10-05T17:13:23.580+02:00,8000,W_Nabellen incomplete dossiers,START,20-10-2011 16:57:52.775
1580547964966,174845,2011-10-05T17:13:23.580+02:00,8000,W_Nabellen incomplete dossiers,COMPLETE,20-10-2011 17:02:39.606
1580547964967,174845,2011-10-05T17:13:23.580+02:00,8000,W_Nabellen incomplete dossiers,START,21-10-2011 09:04:22.705
1580547964968,174845,2011-10-05T17:13:23.580+02:00,8000,W_Valideren aanvraag,SCHEDULE,21-10-2011 09:05:02.532
1580547964969,174845,2011-10-05T17:13:23.580+02:00,8000,W_Nabellen incomplete dossiers,COMPLETE,21-10-2011 09:05:05.196
1580547964970,174845,2011-10-05T17:13:23.580+02:00,8000,W_Valideren aanvraag,START,21-10-2011 09:52:30.405
1580547964973,174845,2011-10-05T17:13:23.580+02:00,8000,A_APPROVED,COMPLETE,21-10-2011 10:05:39.513
1580547964971,174845,2011-10-05T17:13:23.580+02:00,8000,O_ACCEPTED,COMPLETE,21-10-2011 10:05:39.513
1580547964972,174845,2011-10-05T17:13:23.580+02:00,8000,A_REGISTERED,COMPLETE,21-10-2011 10:05:39.513
1580547964974,174845,2011-10-05T17:13:23.580+02:00,8000,A_ACTIVATED,COMPLETE,21-10-2011 10:05:39.514
1580547964975,174845,2011-10-05T17:13:23.580+02:00,8000,W_Valideren aanvraag,COMPLETE,21-10-2011 10:05:47.299
1584842932224,174848,2011-10-05T17:14:06.267+02:00,22500,A_SUBMITTED,COMPLETE,05-10-2011 17:14:06.268
1584842932225,174848,2011-10-05T17:14:06.267+02:00,22500,A_PARTLYSUBMITTED,COMPLETE,05-10-2011 17:14:06.358
1584842932226,174848,2011-10-05T17:14:06.267+02:00,22500,A_PREACCEPTED,COMPLETE,05-10-2011 17:14:50.036
1584842932227,174848,2011-10-05T17:14:06.267+02:00,22500,W_Completeren aanvraag,SCHEDULE,05-10-2011 17:14:50.335
1584842932228,174848,2011-10-05T17:14:06.267+02:00,22500,W_Completeren aanvraag,START,05-10-2011 18:53:39.536
1584842932229,174848,2011-10-05T17:14:06.267+02:00,22500,W_Completeren aanvraag,COMPLETE,05-10-2011 18:54:04.342
1584842932230,174848,2011-10-05T17:14:06.267+02:00,22500,W_Completeren aanvraag,START,05-10-2011 19:04:36.569
1584842932231,174848,2011-10-05T17:14:06.267+02:00,22500,A_ACCEPTED,COMPLETE,05-10-2011 19:15:51.026
1584842932232,174848,2011-10-05T17:14:06.267+02:00,22500,O_SELECTED,COMPLETE,05-10-2011 19:19:27.213
1584842932233,174848,2011-10-05T17:14:06.267+02:00,22500,A_FINALIZED,COMPLETE,05-10-2011 19:19:27.213
1584842932234,174848,2011-10-05T17:14:06.267+02:00,22500,O_CREATED,COMPLETE,05-10-2011 19:19:28.562
1584842932235,174848,2011-10-05T17:14:06.267+02:00,22500,O_SENT,COMPLETE,05-10-2011 19:19:28.605
1584842932236,174848,2011-10-05T17:14:06.267+02:00,22500,W_Nabellen offertes,SCHEDULE,05-10-2011 19:19:28.780
1584842932237,174848,2011-10-05T17:14:06.267+02:00,22500,W_Completeren aanvraag,COMPLETE,05-10-2011 19:19:30.316
1584842932238,174848,2011-10-05T17:14:06.267+02:00,22500,W_Nabellen offertes,START,05-10-2011 19:19:43.197
1584842932239,174848,2011-10-05T17:14:06.267+02:00,22500,W_Nabellen offertes,COMPLETE,05-10-2011 19:24:40.247
1584842932240,174848,2011-10-05T17:14:06.267+02:00,22500,W_Nabellen offertes,START,11-10-2011 09:35:17.283
1584842932241,174848,2011-10-05T17:14:06.267+02:00,22500,O_SENT_BACK,COMPLETE,11-10-2011 09:36:59.373
1584842932242,174848,2011-10-05T17:14:06.267+02:00,22500,W_Valideren aanvraag,SCHEDULE,11-10-2011 09:36:59.521
1584842932243,174848,2011-10-05T17:14:06.267+02:00,22500,W_Nabellen offertes,COMPLETE,11-10-2011 09:37:01.535
1584842932244,174848,2011-10-05T17:14:06.267+02:00,22500,W_Valideren aanvraag,START,14-10-2011 11:05:24.698
1584842932245,174848,2011-10-05T17:14:06.267+02:00,22500,A_DECLINED,COMPLETE,14-10-2011 11:16:02.142
1584842932246,174848,2011-10-05T17:14:06.267+02:00,22500,O_DECLINED,COMPLETE,14-10-2011 11:16:02.142
1584842932247,174848,2011-10-05T17:14:06.267+02:00,22500,W_Valideren aanvraag,COMPLETE,14-10-2011 11:16:05.388
1589137899520,174851,2011-10-05T17:27:46.417+02:00,5000,A_SUBMITTED,COMPLETE,05-10-2011 17:27:46.417
1589137899521,174851,2011-10-05T17:27:46.417+02:00,5000,A_PARTLYSUBMITTED,COMPLETE,05-10-2011 17:27:46.570
1589137899522,174851,2011-10-05T17:27:46.417+02:00,5000,A_PREACCEPTED,COMPLETE,05-10-2011 17:28:27.240
1589137899523,174851,2011-10-05T17:27:46.417+02:00,5000,W_Completeren aanvraag,SCHEDULE,05-10-2011 17:28:27.763
1589137899524,174851,2011-10-05T17:27:46.417+02:00,5000,W_Completeren aanvraag,START,05-10-2011 17:28:36.311
1589137899525,174851,2011-10-05T17:27:46.417+02:00,5000,W_Completeren aanvraag,COMPLETE,05-10-2011 17:29:24.659
1589137899526,174851,2011-10-05T17:27:46.417+02:00,5000,W_Completeren aanvraag,START,05-10-2011 17:29:29.342
1589137899527,174851,2011-10-05T17:27:46.417+02:00,5000,A_ACCEPTED,COMPLETE,05-10-2011 17:31:13.444
1589137899528,174851,2011-10-05T17:27:46.417+02:00,5000,O_SELECTED,COMPLETE,05-10-2011 17:34:02.130
1589137899529,174851,2011-10-05T17:27:46.417+02:00,5000,A_FINALIZED,COMPLETE,05-10-2011 17:34:02.131
1589137899530,174851,2011-10-05T17:27:46.417+02:00,5000,O_CREATED,COMPLETE,05-10-2011 17:34:03.157
1589137899531,174851,2011-10-05T17:27:46.417+02:00,5000,O_SENT,COMPLETE,05-10-2011 17:34:03.191
1589137899532,174851,2011-10-05T17:27:46.417+02:00,5000,W_Nabellen offertes,SCHEDULE,05-10-2011 17:34:03.307
1589137899533,174851,2011-10-05T17:27:46.417+02:00,5000,W_Completeren aanvraag,COMPLETE,05-10-2011 17:34:04.448
1589137899534,174851,2011-10-05T17:27:46.417+02:00,5000,W_Nabellen offertes,START,05-10-2011 17:34:13.913
1589137899535,174851,2011-10-05T17:27:46.417+02:00,5000,W_Nabellen offertes,COMPLETE,05-10-2011 17:35:17.891
1589137899536,174851,2011-10-05T17:27:46.417+02:00,5000,W_Nabellen offertes,START,05-10-2011 17:35:44.488
1589137899537,174851,2011-10-05T17:27:46.417+02:00,5000,W_Nabellen offertes,COMPLETE,05-10-2011 17:41:48.215
1589137899538,174851,2011-10-05T17:27:46.417+02:00,5000,W_Nabellen offertes,START,12-10-2011 10:51:57.778
1589137899539,174851,2011-10-05T17:27:46.417+02:00,5000,W_Nabellen offertes,COMPLETE,12-10-2011 10:56:03.433
1589137899540,174851,2011-10-05T17:27:46.417+02:00,5000,W_Nabellen offertes,START,12-10-2011 14:31:12.001
1589137899541,174851,2011-10-05T17:27:46.417+02:00,5000,W_Nabellen offertes,COMPLETE,12-10-2011 14:32:37.257
1589137899542,174851,2011-10-05T17:27:46.417+02:00,5000,W_Nabellen offertes,START,12-10-2011 19:38:12.862
1589137899543,174851,2011-10-05T17:27:46.417+02:00,5000,W_Nabellen offertes,COMPLETE,12-10-2011 19:48:56.012
1589137899544,174851,2011-10-05T17:27:46.417+02:00,5000,W_Nabellen offertes,START,18-10-2011 10:25:51.556
1589137899545,174851,2011-10-05T17:27:46.417+02:00,5000,O_SENT_BACK,COMPLETE,18-10-2011 10:26:07.047
1589137899546,174851,2011-10-05T17:27:46.417+02:00,5000,W_Valideren aanvraag,SCHEDULE,18-10-2011 10:26:07.541
1589137899547,174851,2011-10-05T17:27:46.417+02:00,5000,W_Nabellen offertes,COMPLETE,18-10-2011 10:26:09.013
1589137899548,174851,2011-10-05T17:27:46.417+02:00,5000,W_Valideren aanvraag,START,24-10-2011 08:21:26.360
1589137899549,174851,2011-10-05T17:27:46.417+02:00,5000,W_Valideren aanvraag,COMPLETE,24-10-2011 08:24:16.556
1589137899550,174851,2011-10-05T17:27:46.417+02:00,5000,W_Valideren aanvraag,START,24-10-2011 08:24:18.789
1589137899551,174851,2011-10-05T17:27:46.417+02:00,5000,W_Nabellen incomplete dossiers,SCHEDULE,24-10-2011 08:58:53.511
1589137899552,174851,2011-10-05T17:27:46.417+02:00,5000,W_Valideren aanvraag,COMPLETE,24-10-2011 08:58:55.131
1589137899553,174851,2011-10-05T17:27:46.417+02:00,5000,W_Nabellen incomplete dossiers,START,24-10-2011 10:07:17.388
1589137899554,174851,2011-10-05T17:27:46.417+02:00,5000,W_Nabellen incomplete dossiers,COMPLETE,24-10-2011 10:11:42.632
1589137899555,174851,2011-10-05T17:27:46.417+02:00,5000,W_Nabellen incomplete dossiers,START,24-10-2011 15:53:38.958
1589137899556,174851,2011-10-05T17:27:46.417+02:00,5000,W_Nabellen incomplete dossiers,COMPLETE,24-10-2011 15:54:47.155
1589137899557,174851,2011-10-05T17:27:46.417+02:00,5000,W_Nabellen incomplete dossiers,START,25-10-2011 09:12:54.314
1589137899558,174851,2011-10-05T17:27:46.417+02:00,5000,W_Valideren aanvraag,SCHEDULE,25-10-2011 09:14:18.030
1589137899559,174851,2011-10-05T17:27:46.417+02:00,5000,W_Nabellen incomplete dossiers,COMPLETE,25-10-2011 09:14:20.108
1589137899560,174851,2011-10-05T17:27:46.417+02:00,5000,W_Valideren aanvraag,START,25-10-2011 09:41:42.946
1589137899561,174851,2011-10-05T17:27:46.417+02:00,5000,W_Nabellen incomplete dossiers,SCHEDULE,25-10-2011 09:47:04.874
1589137899562,174851,2011-10-05T17:27:46.417+02:00,5000,W_Valideren aanvraag,COMPLETE,25-10-2011 09:47:06.673
1589137899563,174851,2011-10-05T17:27:46.417+02:00,5000,W_Nabellen incomplete dossiers,START,25-10-2011 10:15:49.578
1589137899564,174851,2011-10-05T17:27:46.417+02:00,5000,W_Nabellen incomplete dossiers,COMPLETE,25-10-2011 10:19:23.264
1589137899565,174851,2011-10-05T17:27:46.417+02:00,5000,W_Nabellen incomplete dossiers,START,26-10-2011 08:09:10.877
1589137899566,174851,2011-10-05T17:27:46.417+02:00,5000,W_Valideren aanvraag,SCHEDULE,26-10-2011 08:11:37.854
1589137899567,174851,2011-10-05T17:27:46.417+02:00,5000,W_Nabellen incomplete dossiers,COMPLETE,26-10-2011 08:11:39.651
1589137899568,174851,2011-10-05T17:27:46.417+02:00,5000,W_Valideren aanvraag,START,26-10-2011 10:26:14.676
1589137899569,174851,2011-10-05T17:27:46.417+02:00,5000,W_Valideren aanvraag,COMPLETE,26-10-2011 11:15:49.855
1589137899570,174851,2011-10-05T17:27:46.417+02:00,5000,W_Valideren aanvraag,START,26-10-2011 11:43:02.738
1589137899571,174851,2011-10-05T17:27:46.417+02:00,5000,W_Nabellen incomplete dossiers,SCHEDULE,26-10-2011 11:49:57.025
1589137899572,174851,2011-10-05T17:27:46.417+02:00,5000,W_Valideren aanvraag,COMPLETE,26-10-2011 11:49:58.725
1589137899573,174851,2011-10-05T17:27:46.417+02:00,5000,W_Nabellen incomplete dossiers,START,26-10-2011 11:50:12.167
1589137899574,174851,2011-10-05T17:27:46.417+02:00,5000,W_Nabellen incomplete dossiers,COMPLETE,26-10-2011 11:50:25.228
1589137899575,174851,2011-10-05T17:27:46.417+02:00,5000,W_Nabellen incomplete dossiers,START,26-10-2011 15:38:53.329
1589137899576,174851,2011-10-05T17:27:46.417+02:00,5000,W_Nabellen incomplete dossiers,COMPLETE,26-10-2011 15:50:46.701
1589137899577,174851,2011-10-05T17:27:46.417+02:00,5000,W_Nabellen incomplete dossiers,START,26-10-2011 15:57:15.835
1589137899578,174851,2011-10-05T17:27:46.417+02:00,5000,W_Valideren aanvraag,SCHEDULE,26-10-2011 16:04:50.977
1589137899579,174851,2011-10-05T17:27:46.417+02:00,5000,W_Nabellen incomplete dossiers,COMPLETE,26-10-2011 16:04:52.694
1589137899580,174851,2011-10-05T17:27:46.417+02:00,5000,W_Valideren aanvraag,START,27-10-2011 07:44:57.710
1589137899581,174851,2011-10-05T17:27:46.417+02:00,5000,W_Valideren aanvraag,COMPLETE,27-10-2011 07:45:55.906
1589137899582,174851,2011-10-05T17:27:46.417+02:00,5000,W_Valideren aanvraag,START,27-10-2011 10:08:09.365
1589137899583,174851,2011-10-05T17:27:46.417+02:00,5000,A_APPROVED,COMPLETE,27-10-2011 10:24:17.803
1589137899584,174851,2011-10-05T17:27:46.417+02:00,5000,O_ACCEPTED,COMPLETE,27-10-2011 10:24:17.803
1589137899585,174851,2011-10-05T17:27:46.417+02:00,5000,A_ACTIVATED,COMPLETE,27-10-2011 10:24:17.804
1589137899586,174851,2011-10-05T17:27:46.417+02:00,5000,A_REGISTERED,COMPLETE,27-10-2011 10:24:17.804
1589137899587,174851,2011-10-05T17:27:46.417+02:00,5000,W_Valideren aanvraag,COMPLETE,27-10-2011 10:24:25.481
1593432866816,174854,2011-10-05T17:28:06.642+02:00,15000,A_SUBMITTED,COMPLETE,05-10-2011 17:28:06.642
1593432866817,174854,2011-10-05T17:28:06.642+02:00,15000,A_PARTLYSUBMITTED,COMPLETE,05-10-2011 17:28:06.780
1593432866818,174854,2011-10-05T17:28:06.642+02:00,15000,A_PREACCEPTED,COMPLETE,05-10-2011 17:28:44.046
1593432866819,174854,2011-10-05T17:28:06.642+02:00,15000,W_Completeren aanvraag,SCHEDULE,05-10-2011 17:28:44.395
1593432866820,174854,2011-10-05T17:28:06.642+02:00,15000,W_Completeren aanvraag,START,05-10-2011 17:57:52.737
1593432866821,174854,2011-10-05T17:28:06.642+02:00,15000,W_Completeren aanvraag,COMPLETE,05-10-2011 18:03:00.568
1593432866822,174854,2011-10-05T17:28:06.642+02:00,15000,W_Completeren aanvraag,START,12-10-2011 10:30:15.716
1593432866823,174854,2011-10-05T17:28:06.642+02:00,15000,W_Completeren aanvraag,COMPLETE,12-10-2011 10:32:14.840
1593432866824,174854,2011-10-05T17:28:06.642+02:00,15000,W_Completeren aanvraag,START,19-10-2011 13:28:30.820
1593432866825,174854,2011-10-05T17:28:06.642+02:00,15000,W_Completeren aanvraag,COMPLETE,19-10-2011 13:31:59.195
1593432866826,174854,2011-10-05T17:28:06.642+02:00,15000,W_Completeren aanvraag,START,19-10-2011 17:52:45.809
1593432866827,174854,2011-10-05T17:28:06.642+02:00,15000,W_Completeren aanvraag,COMPLETE,19-10-2011 17:54:07.710
1593432866828,174854,2011-10-05T17:28:06.642+02:00,15000,W_Completeren aanvraag,START,26-10-2011 17:36:06.088
1593432866829,174854,2011-10-05T17:28:06.642+02:00,15000,W_Completeren aanvraag,COMPLETE,26-10-2011 17:37:31.130
1593432866830,174854,2011-10-05T17:28:06.642+02:00,15000,W_Completeren aanvraag,START,02-11-2011 17:14:29.102
1593432866831,174854,2011-10-05T17:28:06.642+02:00,15000,W_Completeren aanvraag,COMPLETE,02-11-2011 17:17:37.676
1593432866832,174854,2011-10-05T17:28:06.642+02:00,15000,W_Completeren aanvraag,COMPLETE,05-11-2011 09:15:44.830
1593432866833,174854,2011-10-05T17:28:06.642+02:00,15000,A_CANCELLED,COMPLETE,05-11-2011 09:15:44.835
1597727834112,174857,2011-10-05T17:38:33.188+02:00,14500,A_SUBMITTED,COMPLETE,05-10-2011 17:38:33.188
1597727834113,174857,2011-10-05T17:38:33.188+02:00,14500,A_PARTLYSUBMITTED,COMPLETE,05-10-2011 17:38:33.374
1597727834114,174857,2011-10-05T17:38:33.188+02:00,14500,W_Afhandelen leads,SCHEDULE,05-10-2011 17:39:17.917
1597727834115,174857,2011-10-05T17:38:33.188+02:00,14500,W_Afhandelen leads,START,05-10-2011 17:55:06.977
1597727834116,174857,2011-10-05T17:38:33.188+02:00,14500,A_PREACCEPTED,COMPLETE,05-10-2011 17:55:34.113
1597727834117,174857,2011-10-05T17:38:33.188+02:00,14500,W_Completeren aanvraag,SCHEDULE,05-10-2011 17:55:34.154
1597727834118,174857,2011-10-05T17:38:33.188+02:00,14500,W_Afhandelen leads,COMPLETE,05-10-2011 17:55:35.277
1597727834119,174857,2011-10-05T17:38:33.188+02:00,14500,W_Completeren aanvraag,START,05-10-2011 18:14:36.241
1597727834120,174857,2011-10-05T17:38:33.188+02:00,14500,W_Completeren aanvraag,COMPLETE,05-10-2011 18:16:07.425
1597727834121,174857,2011-10-05T17:38:33.188+02:00,14500,W_Completeren aanvraag,START,06-10-2011 09:54:19.978
1597727834122,174857,2011-10-05T17:38:33.188+02:00,14500,W_Completeren aanvraag,COMPLETE,06-10-2011 09:58:46.073
1597727834123,174857,2011-10-05T17:38:33.188+02:00,14500,W_Completeren aanvraag,START,06-10-2011 10:04:09.709
1597727834124,174857,2011-10-05T17:38:33.188+02:00,14500,W_Completeren aanvraag,COMPLETE,06-10-2011 10:04:15.904
1597727834125,174857,2011-10-05T17:38:33.188+02:00,14500,W_Completeren aanvraag,START,06-10-2011 10:08:55.876
1597727834126,174857,2011-10-05T17:38:33.188+02:00,14500,W_Completeren aanvraag,COMPLETE,06-10-2011 10:09:28.245
1597727834127,174857,2011-10-05T17:38:33.188+02:00,14500,W_Completeren aanvraag,START,06-10-2011 10:10:00.155
1597727834128,174857,2011-10-05T17:38:33.188+02:00,14500,A_DECLINED,COMPLETE,06-10-2011 10:15:01.628
1597727834129,174857,2011-10-05T17:38:33.188+02:00,14500,W_Completeren aanvraag,COMPLETE,06-10-2011 10:15:05.250
1602022801408,174860,2011-10-05T17:47:55.586+02:00,5000,A_SUBMITTED,COMPLETE,05-10-2011 17:47:55.586
1602022801409,174860,2011-10-05T17:47:55.586+02:00,5000,A_PARTLYSUBMITTED,COMPLETE,05-10-2011 17:47:55.683
1602022801410,174860,2011-10-05T17:47:55.586+02:00,5000,W_Afhandelen leads,SCHEDULE,05-10-2011 17:48:31.652
1602022801411,174860,2011-10-05T17:47:55.586+02:00,5000,W_Afhandelen leads,START,05-10-2011 18:01:11.716
1602022801412,174860,2011-10-05T17:47:55.586+02:00,5000,A_PREACCEPTED,COMPLETE,05-10-2011 18:02:26.360
1602022801413,174860,2011-10-05T17:47:55.586+02:00,5000,W_Completeren aanvraag,SCHEDULE,05-10-2011 18:02:26.400
1602022801414,174860,2011-10-05T17:47:55.586+02:00,5000,W_Afhandelen leads,COMPLETE,05-10-2011 18:02:27.213
1602022801415,174860,2011-10-05T17:47:55.586+02:00,5000,W_Completeren aanvraag,START,05-10-2011 18:05:33.348
1602022801416,174860,2011-10-05T17:47:55.586+02:00,5000,W_Completeren aanvraag,COMPLETE,05-10-2011 18:08:03.639
1602022801417,174860,2011-10-05T17:47:55.586+02:00,5000,W_Completeren aanvraag,START,05-10-2011 18:34:34.011
1602022801418,174860,2011-10-05T17:47:55.586+02:00,5000,W_Completeren aanvraag,COMPLETE,05-10-2011 18:34:52.081
1602022801419,174860,2011-10-05T17:47:55.586+02:00,5000,W_Completeren aanvraag,START,05-10-2011 18:57:26.873
1602022801420,174860,2011-10-05T17:47:55.586+02:00,5000,A_DECLINED,COMPLETE,05-10-2011 19:03:04.023
1602022801421,174860,2011-10-05T17:47:55.586+02:00,5000,W_Completeren aanvraag,COMPLETE,05-10-2011 19:03:07.663
1606317768704,174863,2011-10-05T18:05:09.280+02:00,9000,A_SUBMITTED,COMPLETE,05-10-2011 18:05:09.280
1606317768705,174863,2011-10-05T18:05:09.280+02:00,9000,A_PARTLYSUBMITTED,COMPLETE,05-10-2011 18:05:09.534
1606317768706,174863,2011-10-05T18:05:09.280+02:00,9000,A_PREACCEPTED,COMPLETE,05-10-2011 18:05:52.273
1606317768707,174863,2011-10-05T18:05:09.280+02:00,9000,W_Completeren aanvraag,SCHEDULE,05-10-2011 18:05:52.618
1606317768708,174863,2011-10-05T18:05:09.280+02:00,9000,W_Completeren aanvraag,START,05-10-2011 18:25:30.515
1606317768709,174863,2011-10-05T18:05:09.280+02:00,9000,W_Completeren aanvraag,COMPLETE,05-10-2011 18:40:57.272
1606317768710,174863,2011-10-05T18:05:09.280+02:00,9000,W_Completeren aanvraag,START,05-10-2011 18:41:10.825
1606317768711,174863,2011-10-05T18:05:09.280+02:00,9000,A_ACCEPTED,COMPLETE,05-10-2011 18:41:21.150
1606317768713,174863,2011-10-05T18:05:09.280+02:00,9000,O_SELECTED,COMPLETE,05-10-2011 18:42:54.498
1606317768712,174863,2011-10-05T18:05:09.280+02:00,9000,A_FINALIZED,COMPLETE,05-10-2011 18:42:54.498
1606317768714,174863,2011-10-05T18:05:09.280+02:00,9000,O_CREATED,COMPLETE,05-10-2011 18:42:55.447
1606317768715,174863,2011-10-05T18:05:09.280+02:00,9000,O_SENT,COMPLETE,05-10-2011 18:42:55.474
1606317768716,174863,2011-10-05T18:05:09.280+02:00,9000,W_Nabellen offertes,SCHEDULE,05-10-2011 18:42:55.558
1606317768717,174863,2011-10-05T18:05:09.280+02:00,9000,W_Completeren aanvraag,COMPLETE,05-10-2011 18:42:56.759
1606317768718,174863,2011-10-05T18:05:09.280+02:00,9000,W_Nabellen offertes,START,05-10-2011 18:43:09.369
1606317768719,174863,2011-10-05T18:05:09.280+02:00,9000,W_Nabellen offertes,COMPLETE,05-10-2011 18:43:11.161
1606317768720,174863,2011-10-05T18:05:09.280+02:00,9000,W_Nabellen offertes,START,05-10-2011 18:43:21.744
1606317768722,174863,2011-10-05T18:05:09.280+02:00,9000,O_SELECTED,COMPLETE,05-10-2011 18:44:30.410
1606317768721,174863,2011-10-05T18:05:09.280+02:00,9000,O_CANCELLED,COMPLETE,05-10-2011 18:44:30.410
1606317768723,174863,2011-10-05T18:05:09.280+02:00,9000,O_CREATED,COMPLETE,05-10-2011 18:44:31.698
1606317768724,174863,2011-10-05T18:05:09.280+02:00,9000,O_SENT,COMPLETE,05-10-2011 18:44:31.735
1606317768725,174863,2011-10-05T18:05:09.280+02:00,9000,W_Nabellen offertes,SCHEDULE,05-10-2011 18:44:31.831
1606317768726,174863,2011-10-05T18:05:09.280+02:00,9000,W_Nabellen offertes,COMPLETE,05-10-2011 18:44:33.335
